Location,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
9679.25,0,2.563464912,4.659824561,6.636096491,8.145307018,9.388070175,10.42855263,11.18881579,11.87421053,12.39214912,12.6875,12.81745614,12.88828947,13.03149123,13.14092105,13.20359649,13.28798246,13.40754386,13.52697368,13.64416667,
9678.35,0,2.56172807,4.664245614,6.633096491,8.14704386,9.377964912,10.39965789,11.16276316,11.84957895,12.36167544,12.65355263,12.78366667,12.85528947,12.99770175,13.10792105,13.17422807,13.26303509,13.38291228,13.5025,13.61716667,
9677.45,0,2.559991228,4.668666667,6.630096491,8.148780702,9.367859649,10.37076316,11.13671053,11.82494737,12.33120175,12.61960526,12.74987719,12.82228947,12.96391228,13.07492105,13.14485965,13.23808772,13.3582807,13.47802632,13.59016667,
9676.55,0,2.558254386,4.673087719,6.627096491,8.150517544,9.357754386,10.34186842,11.11065789,11.80031579,12.30072807,12.58565789,12.71608772,12.78928947,12.93012281,13.04192105,13.11549123,13.21314035,13.33364912,13.45355263,13.56316667,
9675.65,0,2.556517544,4.677508772,6.624096491,8.152254386,9.347649123,10.31297368,11.08460526,11.77568421,12.27025439,12.55171053,12.68229825,12.75628947,12.89633333,13.00892105,13.08612281,13.18819298,13.30901754,13.42907895,13.53616667,
9674.75,0,2.554780702,4.681929825,6.621096491,8.153991228,9.33754386,10.28407895,11.05855263,11.75105263,12.2397807,12.51776316,12.64850877,12.72328947,12.86254386,12.97592105,13.05675439,13.16324561,13.28438596,13.40460526,13.50916667,
9673.85,0,2.55304386,4.686350877,6.618096491,8.15572807,9.327438596,10.25518421,11.0325,11.72642105,12.20930702,12.48381579,12.6147193,12.69028947,12.82875439,12.94292105,13.02738596,13.13829825,13.25975439,13.38013158,13.48216667,
9672.95,0,2.551307018,4.69077193,6.615096491,8.157464912,9.317333333,10.22628947,11.00644737,11.70178947,12.17883333,12.44986842,12.58092982,12.65728947,12.79496491,12.90992105,12.99801754,13.11335088,13.23512281,13.35565789,13.45516667,
9672.05,0,2.549570175,4.695192982,6.612096491,8.159201754,9.30722807,10.19739474,10.98039474,11.67715789,12.14835965,12.41592105,12.54714035,12.62428947,12.76117544,12.87692105,12.96864912,13.08840351,13.21049123,13.33118421,13.42816667,
9671.15,0,2.547833333,4.699614035,6.609096491,8.160938596,9.297122807,10.1685,10.95434211,11.65252632,12.11788596,12.38197368,12.51335088,12.59128947,12.72738596,12.84392105,12.9392807,13.06345614,13.18585965,13.30671053,13.40116667,
9669.35,0,2.544359649,4.70845614,6.603096491,8.164412281,9.276912281,10.11071053,10.90223684,11.60326316,12.0569386,12.31407895,12.44577193,12.52528947,12.65980702,12.77792105,12.88054386,13.0135614,13.13659649,13.25776316,13.34716667,
9667.55,0,2.540885965,4.717298246,6.597096491,8.167885965,9.256701754,10.05292105,10.85013158,11.554,11.99599123,12.24618421,12.37819298,12.45928947,12.59222807,12.71192105,12.82180702,12.96366667,13.08733333,13.20881579,13.29316667,
9666.65,0,2.539149123,4.721719298,6.594096491,8.169622807,9.246596491,10.02402632,10.82407895,11.52936842,11.96551754,12.21223684,12.34440351,12.42628947,12.5584386,12.67892105,12.7924386,12.9387193,13.06270175,13.18434211,13.26616667,
9665.75,0,2.537412281,4.726140351,6.591096491,8.171359649,9.236491228,9.995131579,10.79802632,11.50473684,11.93504386,12.17828947,12.31061404,12.39328947,12.52464912,12.64592105,12.76307018,12.91377193,13.03807018,13.15986842,13.23916667,
9663.95,0,2.533938596,4.734982456,6.585096491,8.174833333,9.216280702,9.937342105,10.74592105,11.45547368,11.87409649,12.11039474,12.24303509,12.32728947,12.45707018,12.57992105,12.70433333,12.86387719,12.98880702,13.11092105,13.18516667,
9663.05,0,2.532201754,4.739403509,6.582096491,8.176570175,9.206175439,9.908447368,10.71986842,11.43084211,11.84362281,12.07644737,12.20924561,12.29428947,12.4232807,12.54692105,12.67496491,12.83892982,12.96417544,13.08644737,13.15816667,
9662.15,0,2.530464912,4.743824561,6.579096491,8.178307018,9.196070175,9.879552632,10.69381579,11.40621053,11.81314912,12.0425,12.17545614,12.26128947,12.38949123,12.51392105,12.64559649,12.81398246,12.93954386,13.06197368,13.13116667,
9661.25,0,2.52872807,4.748245614,6.576096491,8.18004386,9.185964912,9.850657895,10.66776316,11.38157895,11.78267544,12.00855263,12.14166667,12.22828947,12.35570175,12.48092105,12.61622807,12.78903509,12.91491228,13.0375,13.10416667,
9660.35,0,2.526991228,4.752666667,6.573096491,8.181780702,9.175859649,9.821763158,10.64171053,11.35694737,11.75220175,11.97460526,12.10787719,12.19528947,12.32191228,12.44792105,12.58685965,12.76408772,12.8902807,13.01302632,13.07716667,
9659.45,0,2.525736842,4.751298246,6.57627193,8.197798246,9.206377193,9.860701754,10.68185088,11.39484211,11.78830702,12.01148246,12.1447193,12.23195614,12.3564386,12.47995614,12.6172193,12.79288596,12.91736842,13.03882456,13.10516667,
9658.55,0,2.524789474,4.746245614,6.583377193,8.222903509,9.262745614,9.942807018,10.76411404,11.47252632,11.8667807,12.09342982,12.22650877,12.31295614,12.4344386,12.55337719,12.68558772,12.85588596,12.97736842,13.09661404,13.16816667,
9657.65,0,2.523842105,4.741192982,6.590482456,8.248008772,9.319114035,10.02491228,10.84637719,11.55021053,11.94525439,12.17537719,12.30829825,12.39395614,12.5124386,12.62679825,12.75395614,12.91888596,13.03736842,13.15440351,13.23116667,
9656.75,0,2.522894737,4.736140351,6.597587719,8.273114035,9.375482456,10.10701754,10.92864035,11.62789474,12.02372807,12.25732456,12.39008772,12.47495614,12.5904386,12.7002193,12.82232456,12.98188596,13.09736842,13.21219298,13.29416667,
9654.95,0,2.521,4.726035088,6.611798246,8.323324561,9.488219298,10.27122807,11.09316667,11.78326316,12.18067544,12.4212193,12.55366667,12.63695614,12.7464386,12.8470614,12.9590614,13.10788596,13.21736842,13.32777193,13.42016667,
9654.05,0,2.520052632,4.720982456,6.618903509,8.348429825,9.544587719,10.35333333,11.17542982,11.86094737,12.25914912,12.50316667,12.63545614,12.71795614,12.8244386,12.92048246,13.02742982,13.17088596,13.27736842,13.3855614,13.48316667,
9653.15,0,2.519105263,4.715929825,6.626008772,8.373535088,9.60095614,10.4354386,11.25769298,11.93863158,12.33762281,12.58511404,12.71724561,12.79895614,12.9024386,12.99390351,13.09579825,13.23388596,13.33736842,13.44335088,13.54616667,
9652.25,0,2.518157895,4.710877193,6.633114035,8.398640351,9.657324561,10.51754386,11.33995614,12.01631579,12.41609649,12.6670614,12.79903509,12.87995614,12.9804386,13.06732456,13.16416667,13.29688596,13.39736842,13.50114035,13.60916667,
9651.35,0,2.517210526,4.705824561,6.640219298,8.423745614,9.713692982,10.59964912,11.4222193,12.094,12.49457018,12.74900877,12.88082456,12.96095614,13.0584386,13.14074561,13.23253509,13.35988596,13.45736842,13.55892982,13.67216667,
9650.45,0,2.516263158,4.70077193,6.647324561,8.448850877,9.770061404,10.68175439,11.50448246,12.17168421,12.57304386,12.83095614,12.96261404,13.04195614,13.1364386,13.21416667,13.30090351,13.42288596,13.51736842,13.6167193,13.73516667,
9649.55,0,2.515315789,4.695719298,6.654429825,8.47395614,9.826429825,10.76385965,11.58674561,12.24936842,12.65151754,12.91290351,13.04440351,13.12295614,13.2144386,13.28758772,13.36927193,13.48588596,13.57736842,13.67450877,13.79816667,
9648.65,0,2.514368421,4.690666667,6.661535088,8.499061404,9.882798246,10.84596491,11.66900877,12.32705263,12.72999123,12.99485088,13.12619298,13.20395614,13.2924386,13.36100877,13.43764035,13.54888596,13.63736842,13.73229825,13.86116667,
9647.75,0,2.513421053,4.685614035,6.668640351,8.524166667,9.939166667,10.92807018,11.75127193,12.40473684,12.80846491,13.07679825,13.20798246,13.28495614,13.3704386,13.43442982,13.50600877,13.61188596,13.69736842,13.79008772,13.92416667,
9646.85,0,2.512473684,4.680561404,6.675745614,8.54927193,9.995535088,11.01017544,11.83353509,12.48242105,12.8869386,13.15874561,13.28977193,13.36595614,13.4484386,13.50785088,13.57437719,13.67488596,13.75736842,13.84787719,13.98716667,
9645.95,0,2.511526316,4.675508772,6.682850877,8.574377193,10.05190351,11.0922807,11.91579825,12.56010526,12.96541228,13.24069298,13.3715614,13.44695614,13.5264386,13.58127193,13.64274561,13.73788596,13.81736842,13.90566667,14.05016667,
9645.05,0,2.510578947,4.67045614,6.68995614,8.599482456,10.10827193,11.17438596,11.9980614,12.63778947,13.04388596,13.32264035,13.45335088,13.52795614,13.6044386,13.65469298,13.71111404,13.80088596,13.87736842,13.96345614,14.11316667,
9644.15,0,2.509631579,4.665403509,6.697061404,8.624587719,10.16464035,11.25649123,12.08032456,12.71547368,13.12235965,13.40458772,13.53514035,13.60895614,13.6824386,13.72811404,13.77948246,13.86388596,13.93736842,14.02124561,14.17616667,
9643.25,0,2.508684211,4.660350877,6.704166667,8.649692982,10.22100877,11.33859649,12.16258772,12.79315789,13.20083333,13.48653509,13.61692982,13.68995614,13.7604386,13.80153509,13.84785088,13.92688596,13.99736842,14.07903509,14.23916667,
9642.35,0,2.507736842,4.655298246,6.71127193,8.674798246,10.27737719,11.42070175,12.24485088,12.87084211,13.27930702,13.56848246,13.6987193,13.77095614,13.8384386,13.87495614,13.9162193,13.98988596,14.05736842,14.13682456,14.30216667,
9640.55,0,2.505842105,4.645192982,6.725482456,8.725008772,10.39011404,11.58491228,12.40937719,13.02621053,13.43625439,13.73237719,13.86229825,13.93295614,13.9944386,14.02179825,14.05295614,14.11588596,14.17736842,14.25240351,14.42816667,
9637.85,0,2.542605263,4.733385965,6.869385965,8.888964912,10.5320614,11.71429825,12.53999123,13.1389386,13.52457018,13.79980702,13.93717544,14.0115,14.0832193,14.1130614,14.15018421,14.21435965,14.28683333,14.36994737,14.53833333,
9629.75,0,2.683289474,5.077280702,7.395175439,9.448859649,10.9370614,12.0127193,12.84267544,13.3847807,13.67662281,13.86517544,14.03096491,14.12092105,14.23811404,14.28785088,14.35907895,14.44030702,14.56109649,14.67973684,14.80833333,
9628.4,0,2.706736842,5.134596491,7.482807018,9.542175439,11.0045614,12.06245614,12.89312281,13.42575439,13.70196491,13.87607018,14.04659649,14.13915789,14.26392982,14.31698246,14.39389474,14.47796491,14.60680702,14.73136842,14.85333333,
9624.8,0,2.769263158,5.287438596,7.716491228,9.791017544,11.1845614,12.19508772,13.02764912,13.53501754,13.76954386,13.90512281,14.0882807,14.18778947,14.33277193,14.39466667,14.48673684,14.57838596,14.72870175,14.86905263,14.97333333,
9623,0,2.800526316,5.363859649,7.833333333,9.915438596,11.2745614,12.26140351,13.09491228,13.58964912,13.80333333,13.91964912,14.10912281,14.21210526,14.36719298,14.43350877,14.53315789,14.62859649,14.78964912,14.93789474,15.03333333,
9621.2,0,2.831789474,5.440280702,7.950175439,10.03985965,11.3645614,12.3277193,13.16217544,13.6442807,13.83712281,13.93417544,14.12996491,14.23642105,14.40161404,14.47235088,14.57957895,14.67880702,14.85059649,15.00673684,15.09333333,
9619.4,0,2.852315789,5.484491228,8.000385965,10.0742807,11.37087719,12.32887719,13.16922807,13.64870175,13.83407018,13.92238596,14.12122807,14.23052632,14.40108772,14.47635088,14.58863158,14.68891228,14.86270175,15.02115789,15.10133333,
9615.8,0,2.850421053,5.444070175,7.834280702,9.783122807,11.04877193,12.0705614,12.94249123,13.45670175,13.68059649,13.79354386,13.9854386,14.09789474,14.26024561,14.34498246,14.45726316,14.54870175,14.69154386,14.83231579,14.90933333,
